// Current CO | Current Unit | Result
type CO       UNIT             NUMBER
// ADDER
CO_ADDER      INFANTRY         0
CO_ADDER      MECH             0
CO_ADDER      AIRCRAFTCARRIER  0
CO_ADDER      ANTITANKCANNON   1
CO_ADDER      ARTILLERY        1
CO_ADDER      BATTLESHIP       1
CO_ADDER      BOMBER           1
CO_ADDER      CRUISER          1
CO_ADDER      DESTROYER        1
CO_ADDER      DUSTER           1
CO_ADDER      FIGHTER          1
CO_ADDER      FLAK             1
CO_ADDER      HEAVY_HOVERTANK  1
CO_ADDER      HOVERCRAFT       1
CO_ADDER      HOVERFLAK        1
CO_ADDER      K_HELI           1
CO_ADDER      LIGHT_TANK       1
CO_ADDER      MEGATANK         1
CO_ADDER      MISSILE          0
CO_ADDER      MOTORBIKE        0
CO_ADDER      NEOTANK          1
CO_ADDER      PIPERUNNER       0
CO_ADDER      RECON            0
CO_ADDER      ROCKETTRHOWER    0
CO_ADDER      SNIPER           0
CO_ADDER      STEALTHBOMBER    1
CO_ADDER      SUBMARINE        1
// ANDY
CO_ANDY       INFANTRY         0
CO_ANDY       MECH             0
CO_ANDY       AIRCRAFTCARRIER  0
CO_ANDY       ANTITANKCANNON   1
CO_ANDY       ARTILLERY        1
CO_ANDY       BATTLESHIP       1
CO_ANDY       BOMBER           1
CO_ANDY       CRUISER          1
CO_ANDY       DESTROYER        1
CO_ANDY       DUSTER           1
CO_ANDY       FIGHTER          1
CO_ANDY       FLAK             1
CO_ANDY       HEAVY_HOVERTANK  1
CO_ANDY       HOVERCRAFT       1
CO_ANDY       HOVERFLAK        1
CO_ANDY       K_HELI           1
CO_ANDY       LIGHT_TANK       1
CO_ANDY       MEGATANK         1
CO_ANDY       MISSILE          0
CO_ANDY       MOTORBIKE        0
CO_ANDY       NEOTANK          1
CO_ANDY       PIPERUNNER       0
CO_ANDY       RECON            0
CO_ANDY       ROCKETTRHOWER    0
CO_ANDY       SNIPER           0
CO_ANDY       STEALTHBOMBER    1
CO_ANDY       SUBMARINE        1
// COLIN
CO_COLIN      INFANTRY         0
CO_COLIN      MECH             0
CO_COLIN      AIRCRAFTCARRIER  0
CO_COLIN      ANTITANKCANNON   1
CO_COLIN      ARTILLERY        1
CO_COLIN      BATTLESHIP       1
CO_COLIN      BOMBER           1
CO_COLIN      CRUISER          1
CO_COLIN      DESTROYER        1
CO_COLIN      DUSTER           1
CO_COLIN      FIGHTER          1
CO_COLIN      FLAK             1
CO_COLIN      HEAVY_HOVERTANK  1
CO_COLIN      HOVERCRAFT       1
CO_COLIN      HOVERFLAK        1
CO_COLIN      K_HELI           1
CO_COLIN      LIGHT_TANK       1
CO_COLIN      MEGATANK         1
CO_COLIN      MISSILE          0
CO_COLIN      MOTORBIKE        0
CO_COLIN      NEOTANK          1
CO_COLIN      PIPERUNNER       0
CO_COLIN      RECON            0
CO_COLIN      ROCKETTRHOWER    0
CO_COLIN      SNIPER           0
CO_COLIN      STEALTHBOMBER    1
CO_COLIN      SUBMARINE        1
// DRAKE
CO_DRAKE      INFANTRY         0
CO_DRAKE      MECH             0
CO_DRAKE      AIRCRAFTCARRIER  0
CO_DRAKE      ANTITANKCANNON   1
CO_DRAKE      ARTILLERY        1
CO_DRAKE      BATTLESHIP       1
CO_DRAKE      BOMBER           0
CO_DRAKE      CRUISER          1
CO_DRAKE      DESTROYER        1
CO_DRAKE      DUSTER           0
CO_DRAKE      FIGHTER          0
CO_DRAKE      FLAK             1
CO_DRAKE      HEAVY_HOVERTANK  1
CO_DRAKE      HOVERCRAFT       1
CO_DRAKE      HOVERFLAK        1
CO_DRAKE      K_HELI           0
CO_DRAKE      LIGHT_TANK       1
CO_DRAKE      MEGATANK         1
CO_DRAKE      MISSILE          0
CO_DRAKE      MOTORBIKE        0
CO_DRAKE      NEOTANK          1
CO_DRAKE      PIPERUNNER       0
CO_DRAKE      RECON            0
CO_DRAKE      ROCKETTRHOWER    0
CO_DRAKE      SNIPER           0
CO_DRAKE      STEALTHBOMBER    0
CO_DRAKE      SUBMARINE        1
// EAGLE
CO_EAGLE      INFANTRY         0
CO_EAGLE      MECH             0
CO_EAGLE      AIRCRAFTCARRIER  0
CO_EAGLE      ANTITANKCANNON   1
CO_EAGLE      ARTILLERY        1
CO_EAGLE      BATTLESHIP       0
CO_EAGLE      BOMBER           1
CO_EAGLE      CRUISER          0
CO_EAGLE      DESTROYER        0
CO_EAGLE      DUSTER           1
CO_EAGLE      FIGHTER          1
CO_EAGLE      FLAK             1
CO_EAGLE      HEAVY_HOVERTANK  1
CO_EAGLE      HOVERCRAFT       1
CO_EAGLE      HOVERFLAK        1
CO_EAGLE      K_HELI           1
CO_EAGLE      LIGHT_TANK       1
CO_EAGLE      MEGATANK         1
CO_EAGLE      MISSILE          0
CO_EAGLE      MOTORBIKE        0
CO_EAGLE      NEOTANK          1
CO_EAGLE      PIPERUNNER       0
CO_EAGLE      RECON            0
CO_EAGLE      ROCKETTRHOWER    0
CO_EAGLE      SNIPER           0
CO_EAGLE      STEALTHBOMBER    1
CO_EAGLE      SUBMARINE        0
// EPOCH
CO_EPOCH      INFANTRY         0
CO_EPOCH      MECH             0
CO_EPOCH      AIRCRAFTCARRIER  0
CO_EPOCH      ANTITANKCANNON   1
CO_EPOCH      ARTILLERY        1
CO_EPOCH      BATTLESHIP       1
CO_EPOCH      BOMBER           1
CO_EPOCH      CRUISER          1
CO_EPOCH      DESTROYER        1
CO_EPOCH      DUSTER           1
CO_EPOCH      FIGHTER          1
CO_EPOCH      FLAK             1
CO_EPOCH      HEAVY_HOVERTANK  1
